"Latitude","Longitude"
37.7991445,-122.4102145
37.7996225714,-122.4071186429
37.8022887647,-122.4079750588
37.7973509286,-122.4318250714
37.8004821429,-122.4314002143
37.80245875,-122.43979
37.79771525,-122.4418506667
37.8036434167,-122.4447705833
37.802183,-122.4276507143
37.806827625,-122.43170375
37.8052692632,-122.4228638421
37.8021030769,-122.4159986154
37.8065286429,-122.4110725714
37.7879775556,-122.4310298889
37.7910082222,-122.4333267778
37.7938505333,-122.4385422667
37.7897508571,-122.4416288571
37.7867919,-122.4398487
37.7843941765,-122.4506532353
37.7887015,-122.4518072143
37.7785442353,-122.4474801765
37.7784924444,-122.4564896667
37.7777911111,-122.4615225556
37.7855777273,-122.4617240909
37.7773763846,-122.4684921538
37.7773500833,-122.4760936667
37.7836767778,-122.4758336667
37.7828577273,-122.4814181818
37.7825619231,-122.4887855385
37.7786262,-122.4841973
37.7746597778,-122.4839823333
37.7764842857,-122.4927645714
37.7770320667,-122.4966234667
37.7795518333,-122.5046726667
37.7832040714,-122.5028535714
37.7770433333,-122.5072072778
37.7867209375,-122.4857553125
37.7953496923,-122.464495
37.9236006583,-122.592369608
37.8508201944,-122.4875188611
37.8701477727,-122.5128734091
37.870965686,-122.5302596047
37.8947613289,-122.5482637632
37.9015588485,-122.5224743939
37.925107175,-122.5242044
37.9364687797,-122.5357703898
37.9508753103,-122.5220872414
37.9603463704,-122.5224063704
37.9699478182,-122.5372308788
37.9841916061,-122.5502863333
37.9747191538,-122.5654274359
37.9783888462,-122.5756788077
38.0052215167,-122.5855248333
38.0063881875,-122.6021966667
38.015532518,-122.6722388273
37.972497,-122.5933186869
37.9824165714,-122.5322599524
37.9987083333,-122.5480453333
38.0177917857,-122.5640016429
38.0277153958,-122.5209146875
38.0353706143,-122.5897901857
38.0627971,-122.56639285
38.0552862093,-122.518935
38.0778495116,-122.560991093
38.0486836667,-122.494047
38.0899185238,-122.5606786667
38.1105780833,-122.572026625
38.1307242941,-122.5868588431
38.1158774138,-122.5909016897
38.1162903766,-122.644921039
38.09718464,-122.58445992
38.104853129,-122.5402589677
38.135948064,-122.542157512
38.1427368738,-122.7433261782
38.2187846415,-122.545345317
38.2394685,-122.5906147778
38.2445136154,-122.6088411538
38.2385228,-122.6148518667
38.2535437667,-122.6189106667
38.2618765455,-122.6449717727
38.2741976667,-122.6473045952
38.2517520333,-122.6721274167
38.2631323,-122.7350354111
38.2433101714,-122.6545902286
38.2500805,-122.6475433462
38.2313550811,-122.6295984324
38.2093845738,-122.6661373934
38.3148777671,-122.7031526164
38.3211298387,-122.7070636774
38.3419112353,-122.7073241765
38.3479763636,-122.6943190909
38.3443434758,-122.6301370242
38.3384971905,-122.684872619
38.3272953,-122.6816646
38.3574852174,-122.6991838261
38.368102,-122.7009542273
38.403855,-122.7075701053
38.4065023509,-122.685993614
38.4352398571,-122.7089775
38.4416330625,-122.7125969375
38.4484162,-122.7067445
38.4604112045,-122.6975476364
38.4796273469,-122.7011424184
38.469265619,-122.6747949762
38.4636355,-122.6559787955
38.5184462383,-122.6427788497
38.4673152318,-122.5562949603
38.4217960901,-122.5987616036
38.4781395294,-122.6641585
38.4581698889,-122.7124862778
38.4600504286,-122.7235551905
38.45201575,-122.73826215
38.467034913,-122.7375043043
38.4798540741,-122.7481028889
38.4981601892,-122.7755208919
38.5312453659,-122.7475648415
38.5334854615,-122.7806117308
38.5455706667,-122.8088257222
38.5548665,-122.81162375
38.5527391111,-122.8019753889
38.5796550821,-122.7416014328
38.6161483,-122.8267535643
38.6109415294,-122.8652378824
38.6140528552,-122.9733360574
38.7078933636,-122.8098671688
38.8094419907,-123.0167705047
38.7692359954,-123.0981949724
38.6203922571,-122.8566828571
38.5232537391,-122.8546761652
